Name,Tier,Repeatable,Nova /Exclusive,Other Tags
Quest 1 Into the Unknown,1,Yes, ,"Quest,, Starship"
1-00 Claim to Salvation,4, , ,Starship
1-01 The Commencement,1-2,Yes, , 
1-02 Fugitive on the Red Planet,1-4, , ,None
1-03 Yesteryear's Truth,1-4, , ,"Faction (Wayfinders), Starship"
1-04 Cries from the Drift,1-4, , ,"Faction (Exo-Guardians), Starship"
1-05 The First Mandate,1-4, , ,"Faction (Acquisitives), Faction (Second Seekers [Luwazi Elsebo])"
1-06 A Night in Nightarch,3-6, , ,None
1-07 The Solar Sortie,1-4, , ,"Faction (Dataphiles), Starship"
1-08 Sanctuary of Drowned Delight,3-6, , ,Faction (Wayfinders)
1-09 Live Exploration Extreme!,1-4, , , 
1-10 The Half-Alive Streets,1-4, , ,None
1-11 In Pursuit of the Scoured Past,3-6, , ,Faction (Second Seekers [Luwazi Elsebo])
1-12 Ashes of Discovery,1-4,Yes, ,Starship
1-13 On the Trail of History,3-6, , ,"Faction (Second Seekers [Luwazi Elsebo]), Starship"
1-14 Star Sugar Heartlove!!!,3-6, , ,"Faction (Dataphiles), Faction (Exo-Guardians)"
1-15 Save the Renkrodas,3-6, , ,"Faction (Acquisitives), Vehicle"
1-16 Dreaming of the Future,1-4,Yes, ,"Quest, Starship"
1-17 Reclaiming the Time-Lost Tear,5-8, , ,Faction (Second Seekers [Luwazi Elsebo])
1-18 The Blackmoon Survey,1-4, , , 
1-19 To Conquer the Dragon,5-8, , ,Starship
1-20 Duskmire Accord 9,1-4, , ,None
1-21 Yesteryear's Sorrow,3-6, , ,Faction (Exo-Guardians)
1-22 The Protectorate Petition,1-4, , , 
1-23 Return to Sender,5-8, , ,"Faction (Acquisitives), Faction (Dataphiles)"
1-24 Siege of Enlightenment,1-4, , ,Starship
1-25 The Beacon Code Dilemma,3-6,Yes, , 
1-26 Truth of the Seeker,3-6, , ,Faction (Second Seekers [Jadnura])
1-27 King Xeros of Star Azlant,5-8, , ,Starship
1-28 It Rests Beneath,1-4, , ,"Faction (Wayfinders), Vehicle"
1-29 Honorbound Emissaries,7-10, , ,Faction (Second Seekers [Luwazi Elsebo])
1-30 Survivor's Salvation,1-4, , ,Faction (Exo-Guardians)
